date,dailyDeaths,dailyInjuries,cumDeaths,cumInjuries
07-10-2023,232,1697,232,1697
8-10-2023,138,503,370,2200
09-10-2023,190,700,560,2900
10-10-2023,340,1350,900,4250
11-10-2023,200,1089,1100,5339
12-10-2023,317,929,1417,6268
13-10-2023,483,1428,1900,7696
14-10-2023,328,1048,2228,8744
15-10-2023,442,856,2670,9600
16-10-2023,138,1250,2808,10850
17-10-2023,192,1650,3000,12500
18-10-2023,478,0,3478,12500
19-10-2023,307,0,3785,12500
20-10-2023,352,662,4137,13162
21-10-2023,248,399,4385,13561
22-10-2023,266,864,4651,14425
23-10-2023,436,848,5087,15273
24-10-2023,704,1024,5791,16297
25-10-2023,756,1142,6547,17439
26-10-2023,481,1043,7028,18482
27-10-2023,298,485,7326,18967
28-10-2023,377,776,7703,19743
29-10-2023,302,499,8005,20242
30-10-2023,304,806,8309,21048
31-10-2023,216,495,8525,21543
1-11-2023,280,697,8805,22240
02-11-2023,256,671,9061,22911
3-11-2023,196,605,9257,23516
04-11-2023,228,657,9485,24173
5-11-2023,285,635,9770,24808
06-11-2023,252,600,10022,25408
7-11-2023,306,548,10328,25956
08-11-2023,241,519,10569,26475
9-11-2023,249,430,10818,26905
10-11-2023,260,585,11078,27490
12-11-2023,0,0,11078,27490
13-11-2023,0,0,11078,27490
14-11-2023,0,0,11078,27490
15-11-2023,0,0,11078,27490
17-11-2023,0,0,11078,27490
18-11-2023,0,0,11078,27490
19-11-2023,0,0,11078,27490
20-11-2023,0,0,11078,27490
22-11-2023,3422,7510,14500,35000
23-11-2023,300,1000,14800,36000
2-12-2023,407,4652,15207,40652
03-12-2023,316,664,15523,41316
5-12-2023,725,2300,16248,43616
08-12-2023,1239,2864,17487,46480
9-12-2023,213,2220,17700,48700
10-12-2023,297,529,17997,49229
11-12-2023,208,416,18205,49645
12-12-2023,207,455,18412,50100
13-12-2023,196,494,18608,50594
14-12-2023,179,303,18787,50897
15-12-2023,13,103,18800,51000
18-12-2023,653,1286,19453,52286
19-12-2023,214,300,19667,52586
27-12-2023,1443,1102,21110,53688
28-12-2023,210,1915,21320,55603
29-12-2023,187,312,21507,55915
30-12-2023,165,250,21672,56165
02-01-2024,513,870,22185,57035
3-1-2024,128,261,22313,57296
04-01-2024,125,318,22438,57614
5-1-2024,162,296,22600,57910
07-01-2024,235,506,22835,58416
9-1-2024,249,510,23084,58926
